danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Class
0.675,0.888,3,-3.473,0,0.0967,0.124,0.0248,0.076,0.439,123.919,180638,4,edm
0.603,0.882,2,-3.13,1,0.0338,0.0494,0.0132,0.241,0.507,120.996,189493,4,edm
0.588,0.697,3,-4.744,0,0.0372,0.186,0.000219,0.103,0.225,125.157,190417,4,edm
0.562,0.871,0,-4.788,1,0.0646,0.341,0.00000147,0.351,0.351,130.043,196615,4,edm
0.677,0.848,7,-6.14,0,0.0741,0.0154,0.00111,0.277,0.469,125.068,208096,4,edm
0.699,0.94,8,-5.969,0,0.208,0.0853,0,0.336,0.652,122.079,253770,3,edm
0.701,0.933,7,-5.35,0,0.0407,0.121,0.924,0.0842,0.726,123.992,203347,4,edm
0.653,0.946,5,-3.757,0,0.0556,0.00812,0.000207,0.126,0.653,125.966,165714,4,edm
0.25,0.909,4,-5.407,1,0.0414,0.00909,0.848,0.136,0.322,128.025,226875,4,edm
0.507,0.887,5,-4.084,0,0.141,0.00731,0,0.562,0.336,128.015,247505,4,edm
0.538,0.904,10,-4.58,1,0.0551,0.00168,0.637,0.538,0.0731,123.989,181935,4,edm
0.542,0.996,4,-3.124,1,0.0623,0.0172,0.0777,0.614,0.263,125.949,190822,4,edm
0.706,0.882,8,-4.209,1,0.0637,0.0777,0.0169,0.61,0.215,122.932,202927,4,edm
0.497,0.925,2,-4.489,1,0.0745,0.00523,0.781,0.222,0.262,139.961,207827,4,edm
0.691,0.924,0,-3.839,1,0.0577,0.00828,0.0000038,0.402,0.34,125.983,158095,4,edm
0.59,0.678,10,-5.48,1,0.0384,0.0259,0.000022,0.0707,0.4,126.061,178132,4,edm
0.864,0.743,7,-6.431,1,0.0889,0.00504,0.0708,0.059,0.887,117.937,166723,4,edm
0.636,0.908,0,-3.01,0,0.0591,0.0324,0.00309,0.0883,0.353,127.994,166868,4,edm
0.634,0.632,5,-4.52,0,0.0313,0.0129,0.000453,0.116,0.449,128.075,210005,4,edm
0.479,0.919,0,-3.443,1,0.153,0.116,0.000139,0.152,0.388,127.001,215488,4,edm
0.285,0.694,11,-3.358,1,0.0482,0.511,0.000128,0.374,0.163,170.124,221294,4,edm
0.717,0.752,0,-6.933,1,0.065,0.251,0.000468,0.0802,0.14,123.97,281267,4,edm
0.679,0.985,7,-3.357,1,0.0617,0.102,0.0107,0.33,0.462,124.953,191160,4,edm
0.599,0.57,10,-7.531,1,0.0248,0.0273,0.000316,0.116,0.299,129.994,241500,4,edm
0.422,0.677,11,-5.76,1,0.0365,0.251,0.00000355,0.16,0.146,150.131,297782,4,edm
0.621,0.842,5,-4.886,1,0.158,0.492,0,0.27,0.55,119.761,181000,4,edm
0.517,0.981,7,-3.542,1,0.0761,0.00112,0.0456,0.0947,0.386,174.074,249341,4,edm
0.772,0.493,5,-3.41,0,0.0729,0.0617,0.0328,0.154,0.385,143.97,94663,4,hiphop
0.826,0.615,8,-7.979,0,0.219,0.071,0,0.0965,0.543,98.056,225199,4,hiphop
0.9,0.653,1,-6.962,0,0.289,0.0945,0,0.528,0.399,112.503,145603,4,hiphop
0.736,0.67,10,-6.702,1,0.311,0.186,0,0.114,0.845,130.032,169999,4,hiphop
0.703,0.706,9,-3.797,0,0.109,0.268,0,0.171,0.43,154.985,252384,4,hiphop
0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,312820,4,hiphop
0.738,0.629,6,-4.882,0,0.0495,0.268,0.00114,0.163,0.319,146.067,180898,4,hiphop
0.757,0.69,1,-5.327,0,0.282,0.0716,0,0.192,0.914,132.064,194732,4,hiphop
0.81,0.353,6,-9.931,0,0.31,0.588,0,0.102,0.0727,88.031,208293,4,hiphop
0.792,0.743,7,-2.806,1,0.0851,0.107,0,0.183,0.742,150.024,195637,4,hiphop
0.917,0.598,1,-7.363,1,0.211,0.561,0,0.123,0.757,140.055,197079,4,hiphop
0.87,0.35,1,-6.082,1,0.277,0.00661,0.000483,0.108,0.175,74.963,168347,4,hiphop
0.656,0.542,7,-7.358,1,0.323,0.0484,0,0.106,0.551,166.11,142320,4,hiphop
0.765,0.704,5,-4.589,0,0.127,0.0215,0,0.227,0.498,147.055,192172,4,hiphop
0.889,0.385,11,-11.767,0,0.165,0.00544,0,0.274,0.235,125.995,202533,4,hiphop
0.825,0.572,6,-6.067,0,0.0864,0.0079,0,0.113,0.568,141.991,175954,4,hiphop
0.754,0.342,10,-8.677,0,0.0991,0.073,0,0.193,0.423,128.981,121347,4,hiphop
0.736,0.482,4,-8.242,1,0.196,0.327,0,0.229,0.608,140.064,224507,4,hiphop
0.8,0.578,4,-5.144,0,0.0485,0.00381,0,0.359,0.367,143.01,204665,4,hiphop
0.853,0.696,1,-6.179,0,0.246,0.179,0,0.286,0.184,118.001,171270,4,hiphop
0.755,0.615,4,-8.245,1,0.0454,0.00587,0.00000175,0.109,0.039,105.955,215364,4,hiphop
0.901,0.464,5,-9.789,0,0.0645,0.368,0.0000171,0.238,0.638,109.004,203267,4,hiphop
0.699,0.558,11,-7.622,1,0.0603,0.462,0,0.116,0.493,79.992,165000,4,hiphop
0.917,0.786,11,-4.921,0,0.208,0.0403,0,0.195,0.441,143.038,224903,4,hiphop
0.785,0.554,0,-6.571,1,0.0409,0.283,0.0000034,0.116,0.144,128.047,150043,4,hiphop
0.95,0.59,8,-6.508,0,0.29,0.00534,0,0.11,0.219,130.003,183527,4,hiphop
0.91,0.661,7,-6.999,1,0.122,0.325,0.000114,0.149,0.763,120.044,192000,4,hiphop
0.909,0.405,6,-8.133,0,0.14,0.0306,0.00698,0.105,0.455,154.984,238613,4,hiphop
0.487,0.789,8,-3.69,1,0.044,0.00947,0.00000405,0.189,0.0564,150.007,270715,4,hiphop
0.962,0.573,7,-5.924,1,0.308,0.0161,0,0.109,0.728,125.035,237655,4,hiphop
0.794,0.598,11,-5.042,1,0.3,0.0952,0,0.166,0.184,94.984,151649,4,hiphop
0.665,0.651,1,-5.515,1,0.156,0.0414,0,0.0896,0.237,163.935,175755,4,hiphop
0.674,0.566,5,-9.07,0,0.408,0.161,0.00000942,0.349,0.752,140.114,166087,4,hiphop
0.52,0.538,1,-8.109,1,0.206,0.367,0.00187,0.119,0.177,141.894,345133,4,hiphop
0.855,0.694,2,-4.393,1,0.169,0.371,0,0.109,0.49,122.078,324189,4,hiphop
0.85,0.785,8,-4.963,0,0.345,0.0367,0,0.155,0.718,145.063,343099,4,hiphop
0.95,0.489,8,-8.411,1,0.462,0.105,0,0.411,0.919,130.021,158769,4,hiphop
0.68,0.732,10,-7.108,0,0.27,0.235,0.000174,0.0705,0.864,75.422,230408,4,hiphop
0.759,0.73,0,-7.985,0,0.0516,0.145,0.00000306,0.11,0.74,115.007,268434,4,hiphop
0.671,0.565,11,-7.401,0,0.16,0.274,0.0000651,0.37,0.561,150.014,210197,4,hiphop
0.885,0.543,2,-6.338,1,0.2,0.0311,0,0.154,0.43,99.026,195992,4,hiphop
0.79,0.629,8,-4.055,1,0.142,0.182,0.00000706,0.338,0.267,170.023,169620,4,hiphop
0.827,0.623,4,-6.199,0,0.35,0.0193,0,0.0589,0.357,131.904,352977,4,hiphop
0.733,0.63,11,-4.296,1,0.395,0.13,0,0.162,0.832,149.989,152000,4,hiphop
0.92,0.606,1,-5.779,1,0.169,0.0204,0,0.107,0.142,142.04,155493,4,hiphop
0.781,0.676,10,-3.857,0,0.26,0.0563,0,0.119,0.535,146.107,212133,4,hiphop
0.901,0.522,2,-8.304,1,0.33,0.0114,0,0.259,0.329,104.053,127947,4,hiphop
0.83,0.593,10,-6.57,0,0.309,0.0594,0,0.101,0.209,139.964,169704,4,hiphop
0.688,0.642,4,-5.567,0,0.321,0.221,0,0.2,0.341,160.319,161129,4,hiphop
0.794,0.637,11,-6.373,1,0.267,0.11,0,0.185,0.503,158.098,158987,4,hiphop
0.116,0.0601,7,-22.05,1,0.0482,0.992,0.979,0.133,0.049,61.991,153098,3,classical
0.117,0.113,11,-18.718,1,0.0382,0.974,0.873,0.117,0.0354,164.145,231160,3,classical
0.366,0.0135,2,-28.807,1,0.0632,0.995,0.936,0.0781,0.0616,66.568,231300,4,classical
0.348,0.142,7,-22.427,1,0.0456,0.985,0.847,0.103,0.158,91.634,337213,4,classical
0.478,0.035,10,-22.292,1,0.0949,0.993,0.888,0.117,0.035,70.956,412373,4,classical
0.252,0.0831,0,-29.339,0,0.0394,0.988,0.206,0.166,0.0705,106.786,140347,4,classical
0.639,0.226,2,-12.374,1,0.0329,0.897,0.046,0.108,0.487,79.937,222920,4,classical
0.234,0.109,9,-22.446,1,0.0482,0.991,0.00535,0.0814,0.0674,131.541,207964,5,classical
0.555,0.0723,2,-15.604,1,0.0441,0.948,0.0306,0.0518,0.397,137.571,200400,3,classical
0.477,0.0849,0,-19.487,1,0.0584,0.929,0.495,0.151,0.695,145.405,212440,3,classical
0.438,0.241,8,-14.187,1,0.172,0.992,0.0191,0.149,0.182,165.196,152800,4,classical
0.379,0.296,1,-18.965,0,0.0391,0.944,0.624,0.168,0.465,140.295,423640,4,classical
0.157,0.0363,9,-19.873,1,0.0443,0.955,0.863,0.11,0.0747,67.671,406160,3,classical
0.429,0.132,5,-19.62,1,0.0516,0.927,0.366,0.0913,0.0968,82.195,543173,4,classical
0.286,0.0377,1,-26.131,1,0.0534,0.993,0.00714,0.0897,0.0558,82.789,158613,4,classical
0.361,0.0732,7,-18.459,1,0.038,0.913,0.907,0.0589,0.162,105.47,417307,4,classical
0.178,0.0233,2,-31.93,0,0.0491,0.663,0.0907,0.0676,0.0343,91.34,354283,4,classical
0.426,0.41,2,-13.994,0,0.0432,0.936,0.933,0.151,0.466,88.033,233666,4,classical
0.19,0.0395,10,-24.322,0,0.0536,0.995,0.318,0.106,0.117,165.01,147373,3,classical
0.545,0.0796,0,-22.296,1,0.045,0.991,0.841,0.112,0.305,103.116,359107,4,classical
0.416,0.327,0,-15.328,1,0.0497,0.723,0.591,0.289,0.41,131.454,178293,4,classical
0.191,0.146,11,-21.527,0,0.0581,0.985,0.000147,0.0881,0.0639,79.8,203273,3,classical
0.447,0.000653,7,-31.998,0,0.0883,0.882,0.0808,0.0794,0.108,165.545,652147,5,classical
0.456,0.217,2,-16.943,1,0.0561,0.944,0.891,0.163,0.0378,123.82,410600,4,classical
0.552,0.124,0,-16.426,0,0.0703,0.992,0.87,0.121,0.0759,139.997,469307,3,classical
0.505,0.532,3,-13.769,1,0.0698,0.919,0.841,0.298,0.158,107.895,297880,4,classical
0.34,0.0739,11,-19.376,0,0.0628,0.982,0.00604,0.0993,0.0461,110.244,373413,4,classical
0.296,0.0743,8,-23.038,1,0.0522,0.911,0.816,0.236,0.149,114.694,513280,4,classical
0.174,0.0201,0,-34.186,0,0.0499,0.989,0.0863,0.0987,0.0361,136.286,262253,3,classical
0.195,0.0139,5,-34.008,1,0.0433,0.792,0.0014,0.304,0.0348,104.943,965467,4,classical
0.262,0.113,4,-21.431,1,0.0506,0.978,0.855,0.0929,0.132,85.552,779213,4,classical
0.293,0.0664,10,-18.765,1,0.0536,0.994,0.18,0.0803,0.23,84.441,150027,4,classical
0.356,0.304,7,-13.199,1,0.0415,0.911,0.338,0.684,0.146,113.674,798760,4,classical
0.345,0.0366,4,-28.152,1,0.0362,0.993,0.937,0.126,0.171,137.465,172800,4,classical
0.26,0.0458,11,-22.942,1,0.0436,0.899,0.0313,0.302,0.0721,117.38,215760,4,classical
0.418,0.0226,8,-28.346,1,0.0349,0.992,0.908,0.125,0.0711,114.017,200320,3,classical
0.362,0.14,10,-23.129,1,0.0374,0.984,0.923,0.0984,0.45,154.35,476000,3,classical
0.175,0.0656,10,-22.5,1,0.0461,0.978,0.933,0.0931,0.0457,91.262,245400,3,classical
0.393,0.0402,7,-25.24,0,0.0439,0.994,0.888,0.0898,0.0628,68.804,133827,4,classical
0.208,0.016,5,-26.874,1,0.0393,0.971,0.852,0.101,0.0644,88.351,137000,4,classical
0.282,0.0228,8,-23.671,1,0.0361,0.994,0.851,0.109,0.0501,76.472,257179,3,classical
0.471,0.176,2,-18.587,0,0.0489,0.994,0.921,0.146,0.133,105.425,101000,3,classical
0.226,0.0884,10,-19.227,1,0.0402,0.978,0.894,0.137,0.0827,86.586,378645,4,classical
0.366,0.158,11,-22.576,0,0.0385,0.994,0.886,0.105,0.419,87.946,391133,4,classical
0.431,0.0773,4,-24.812,1,0.0382,0.957,0.812,0.187,0.0624,65.559,148533,4,classical
0.217,0.0563,1,-26.45,1,0.0406,0.988,0.895,0.119,0.037,143.527,180907,3,classical
0.366,0.0526,2,-23.922,0,0.0366,0.95,0.905,0.0977,0.195,80.921,146454,4,classical
0.159,0.00299,3,-38.709,1,0.0478,0.971,0.964,0.07,0.033,81.543,206147,3,classical
0.133,0.0133,6,-33.662,1,0.0431,0.976,0.896,0.0719,0.0505,74.315,465000,4,classical
0.317,0.0963,0,-24.798,1,0.0488,0.966,0.748,0.226,0.075,110.751,431280,4,classical
0.429,0.118,10,-19.942,0,0.039,0.898,0.569,0.298,0.172,112.864,457268,3,jazz
0.382,0.158,10,-12.962,1,0.0466,0.986,0.823,0.127,0.314,46.95,424243,4,jazz
0.515,0.184,0,-16.969,1,0.0426,0.858,0.18,0.12,0.218,122.744,381051,3,jazz
0.476,0.19,2,-17.266,0,0.0432,0.989,0.733,0.588,0.249,109.795,588760,4,jazz
0.427,0.0445,8,-18.994,1,0.0381,0.989,0.902,0.112,0.153,117.815,241200,3,jazz
0.523,0.188,5,-14.701,1,0.0345,0.609,0.597,0.285,0.0744,112.092,293253,4,jazz
0.439,0.0554,3,-15.183,1,0.0349,0.984,0.00382,0.111,0.178,101.015,261415,4,jazz
0.515,0.0283,9,-28.954,1,0.0402,0.963,0.927,0.0906,0.0886,100.598,379533,4,jazz
0.418,0.0872,7,-24.547,1,0.0354,0.92,0.898,0.108,0.14,148.264,305565,3,jazz
0.456,0.276,5,-7.419,1,0.0316,0.965,0.0525,0.0775,0.157,103.335,330615,4,jazz
0.474,0.112,0,-17.762,1,0.0297,0.974,0.873,0.112,0.116,106.514,377320,4,jazz
0.445,0.144,1,-17.051,1,0.0367,0.929,0.664,0.164,0.206,138.898,304293,5,jazz
0.698,0.214,7,-15.785,1,0.0378,0.803,0.893,0.112,0.172,121.769,282387,4,jazz
0.302,0.0166,7,-23.504,1,0.0475,0.974,0.0714,0.0737,0.235,69.904,360413,3,jazz
0.446,0.188,7,-17.215,0,0.0303,0.786,0.0916,0.104,0.0988,107.147,258227,4,jazz
0.487,0.259,2,-12.391,0,0.0386,0.897,0.778,0.0957,0.108,111.218,440513,4,jazz
0.403,0.13,2,-14.665,1,0.0374,0.969,0.804,0.125,0.0904,137.726,365880,4,jazz
0.437,0.0375,10,-28.282,0,0.0403,0.797,0.692,0.114,0.126,117.153,302240,4,jazz
0.49,0.114,7,-12.566,0,0.0359,0.934,0.262,0.124,0.15,97.158,476992,4,jazz
0.518,0.0493,9,-26.565,0,0.0346,0.9,0.879,0.349,0.16,61.908,375094,4,jazz
0.406,0.175,3,-17.018,1,0.0525,0.953,0.92,0.0841,0.436,180.707,293933,3,jazz
0.578,0.0801,8,-20.314,1,0.0501,0.966,0.539,0.106,0.0747,105.706,242067,4,jazz
0.446,0.188,7,-17.202,0,0.0302,0.782,0.117,0.107,0.098,107.117,258227,4,jazz
0.336,0.0937,0,-20.317,1,0.0414,0.972,0.0123,0.145,0.0992,90.587,286067,4,jazz
