danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Class
0.79,0.629,8,-4.055,1,0.142,0.182,0.00000706,0.338,0.267,170.023,169620,4,hiphop
0.827,0.623,4,-6.199,0,0.35,0.0193,0,0.0589,0.357,131.904,352977,4,hiphop
0.733,0.63,11,-4.296,1,0.395,0.13,0,0.162,0.832,149.989,152000,4,hiphop
0.92,0.606,1,-5.779,1,0.169,0.0204,0,0.107,0.142,142.04,155493,4,hiphop
0.781,0.676,10,-3.857,0,0.26,0.0563,0,0.119,0.535,146.107,212133,4,hiphop
0.901,0.522,2,-8.304,1,0.33,0.0114,0,0.259,0.329,104.053,127947,4,hiphop
0.83,0.593,10,-6.57,0,0.309,0.0594,0,0.101,0.209,139.964,169704,4,hiphop
0.688,0.642,4,-5.567,0,0.321,0.221,0,0.2,0.341,160.319,161129,4,hiphop
0.794,0.637,11,-6.373,1,0.267,0.11,0,0.185,0.503,158.098,158987,4,hiphop
0.361,0.0732,7,-18.459,1,0.038,0.913,0.907,0.0589,0.162,105.47,417307,4,classical
0.178,0.0233,2,-31.93,0,0.0491,0.663,0.0907,0.0676,0.0343,91.34,354283,4,classical
0.426,0.41,2,-13.994,0,0.0432,0.936,0.933,0.151,0.466,88.033,233666,4,classical
0.19,0.0395,10,-24.322,0,0.0536,0.995,0.318,0.106,0.117,165.01,147373,3,classical
0.545,0.0796,0,-22.296,1,0.045,0.991,0.841,0.112,0.305,103.116,359107,4,classical
0.416,0.327,0,-15.328,1,0.0497,0.723,0.591,0.289,0.41,131.454,178293,4,classical
0.191,0.146,11,-21.527,0,0.0581,0.985,0.000147,0.0881,0.0639,79.8,203273,3,classical
0.447,0.000653,7,-31.998,0,0.0883,0.882,0.0808,0.0794,0.108,165.545,652147,5,classical
0.456,0.217,2,-16.943,1,0.0561,0.944,0.891,0.163,0.0378,123.82,410600,4,classical
0.552,0.124,0,-16.426,0,0.0703,0.992,0.87,0.121,0.0759,139.997,469307,3,classical
